,Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab
0,2022,4,77.21,24.15
1,2022,3,76.64,23.95
2,2022,2,75.97,23.72
3,2022,1,73.88,23.05
4,2021,4,73.18,22.81
5,2021,3,70.58,21.98
6,2021,2,69.24,21.55
7,2021,1,67.95,21.13
8,2020,4,67.62,21.01
9,2020,3,66.31,20.59
10,2020,2,64.21,19.92
11,2020,1,62.86,19.48
12,2019,4,62.92,19.49
13,2019,3,65.79,20.36
14,2019,2,64.53,19.96
15,2019,1,62.48,19.31
16,2018,4,61.42,18.97
17,2018,3,60.69,18.73
18,2018,2,59.16,18.24
19,2018,1,58.82,18.12
20,2017,4,57.78,17.79
21,2017,3,56.9,17.51
22,2017,2,54.9,16.88
23,2017,1,54.16,16.64
24,2016,4,53.94,16.56
25,2016,3,53.73,16.5
26,2016,2,53.34,16.37
27,2016,1,51.85,15.9
28,2015,4,52.63,16.12
29,2015,3,52.46,16.05
30,2015,2,51.76,15.82
31,2015,1,51.36,15.68
32,2014,4,50.5,15.39
33,2014,3,50.67,15.43
34,2014,2,49.86,15.16
35,2014,1,49.55,15.05
